Kingdom,Phylum,Class,Order,Family,Genus,total_counts,Flight-February,Flight-April,Ground-February,Ground-April,month_presence,area_presence,presence_type
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,112,4,26,8,74,Both months,Both sites,All sample types
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,634,8,281,6,339,Both months,Both sites,All sample types
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,977,3,560,19,395,Both months,Both sites,All sample types
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae NK3B31 group,36,0,36,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-003,11,11,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,1590,0,766,0,824,Only April,Both sites,Only April
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,92,0,59,4,29,Both months,Both sites,All except April-flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,2853,0,1604,0,1249,Only April,Both sites,Only April
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,3,0,0,3,0,Only February,Only Ground,Only February-Ground
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,32,0,2,3,27,Both months,Both sites,All except April-flight
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flaviaesturariibacter,4,0,0,4,0,Only February,Only Ground,Only February-Ground
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,3,3,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,2,0,2,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,36,0,32,4,0,Both months,Both sites,April-Flight and February-Ground
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,368,280,36,22,30,Both months,Both sites,All sample types
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,5,5,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,9,0,9,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,76,61,0,15,0,Only February,Both sites,Only February
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,26,0,0,9,17,Both months,Only Ground,Only Ground
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,47,0,0,30,17,Both months,Only Ground,Only Ground
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,27,0,4,0,23,Only April,Both sites,Only April
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,11,3,0,8,0,Only February,Both sites,Only February
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,4,0,0,4,0,Only February,Only Ground,Only February-Ground
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,6,0,6,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,21,0,13,8,0,Both months,Both sites,April-Flight and February-Ground
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,245,6,150,4,85,Both months,Both sites,All sample types
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsaceae,Crinalium SAG 22.89,9,0,0,9,0,Only February,Only Ground,Only February-Ground
Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya PCC-6306,11,0,0,11,0,Only February,Only Ground,Only February-Ground
Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,41,6,31,4,0,Both months,Both sites,All except April-flight
Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,38,0,0,38,0,Only February,Only Ground,Only February-Ground
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,290,0,87,0,203,Only April,Both sites,Only April
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,186,0,96,0,90,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,447,0,316,0,131,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,9,0,9,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,3307,524,567,457,1759,Both months,Both sites,All sample types
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,1980,162,530,213,1075,Both months,Both sites,All sample types
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,68,0,49,19,0,Both months,Both sites,April-Flight and February-Ground
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,24,24,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Firmicutes,Bacilli,Bacillales,Salisediminibacteriaceae,Salipaludibacillus,13,0,13,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Asteroleplasma,166,0,110,0,56,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,267,0,176,4,87,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Coprobacillus,26,0,26,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,666,0,410,0,256,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003,293,0,214,0,79,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dielma,38,0,19,0,19,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,198,0,122,0,76,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,428,0,215,0,213,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,110,0,110,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,115,0,36,39,40,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,1043,0,801,0,242,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,394,330,0,0,64,Both months,Both sites,February-Flight and April-Ground
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,9,9,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,25,0,0,25,0,Only February,Only Ground,Only February-Ground
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alloiococcus,70,0,0,0,70,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,27,16,7,4,0,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,44,44,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,7214,0,4353,0,2861,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,HT002,62,0,0,0,62,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,112,0,28,0,84,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,945,205,275,85,380,Both months,Both sites,All sample types
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,451,0,247,0,204,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,113,19,61,0,33,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,222,0,60,0,162,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,10,0,10,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,491,0,343,0,148,Only April,Both sites,Only April
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,8133,907,3504,269,3453,Both months,Both sites,All sample types
Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,38,0,0,0,38,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,433,213,0,6,214,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Auricoccus-Abyssicoccus,4,0,0,0,4,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus,63,0,0,63,0,Only February,Only Ground,Only February-Ground
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Nosocomiicoccus,6,6,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Salinicoccus,17,0,13,4,0,Both months,Both sites,April-Flight and February-Ground
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,2567,366,658,300,1243,Both months,Both sites,All sample types
Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group,100,0,85,3,12,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,2050,89,1162,75,724,Both months,Both sites,All sample types
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 13,114,0,52,0,62,Only April,Both sites,Only April
